Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Exchange,1-Month High,1-Month Low,1-Year Beta,Aroon Down (14),Aroon Up (14),Average Volume (10 day),Average Directional Index (14),Awesome Oscillator,Bollinger Lower Band (20),Bollinger Upper Band (20),Bull Bear Power,"Change 1h, %",Average True Range (14),Change 1h,"Change 1W, %","Change 1m, %","Change 5m, %","Change 15m, %",Commodity Channel Index (20),Country,Exponential Moving Average (20),High,Hull Moving Average (9),"Ichimoku Base Line (9, 26, 52, 26)","Ichimoku Conversion Line (9, 26, 52, 26)","Ichimoku Leading Span A (9, 26, 52, 26)","Ichimoku Leading Span B (9, 26, 52, 26)","Change 1M, %","Change 4h, %",Industry,Low,"MACD Level (12, 26)","MACD Signal (12, 26)",Momentum (10),Keltner Channels Lower Band (20),Keltner Channels Upper Band (20),Moving Averages Rating,Negative Directional Indicator (14),Open,Oscillators Rating,Positive Directional Indicator (14),Relative Strength Index (14),Relative Volume,Relative Volume at Time,Simple Moving Average (5),Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),"Stochastic %D (14, 3, 3)","Stochastic %K (14, 3, 3)","Stochastic RSI Fast (3, 3, 14, 14)","Stochastic RSI Slow (3, 3, 14, 14)",Volatility Week,Volatility Month,Volatility,Volume Weighted Average Price,Volume Weighted Moving Average (20),Average Day Range (14)
ADSB,Abu Dhabi Ship Building Co.,4.05,0,0,Neutral,1500,6075,869167198,36.35547576,0.1114,Producer Manufacturing,ADX,4.25,3.9,0.36140785,85.71428571,7.14285714,41562.3,8.14329478,-0.01417647,3.97381497,4.19018503,-0.02192719,0,0.04642534,0,-1.2195122,0,0,0,-43.82929642,United Arab Emirates,4.06291259,4.05,4.01166667,4.11,4.075,4.005,3.985,-1.2195122,0,Trucks/Construction/Farm Machinery,4.05,-0.0008855,0.00982809,-0.05,3.97425079,4.15157439,Neutral,38.58761866,4.05,Neutral,42.57390385,49.01864226,0.28219889,,4.032,4.082,4.043,4.02375,14.48559671,15.80246914,11.53029296,5.76514648,6.25,2.19512424,6.25,4.08562556,4.0756842,0.01357143
AGTHIA,AGTHIA Group,5.02,0.4,0.02,Strong Buy,17229,86489.58,3926222384,15.80604534,0.3176,Process Industries,ADX,5.13,4.81,0.23353402,28.57142857,100,277291.4,11.78319053,0.02391176,4.94393672,5.01906328,0.05392308,0.4,0.01208566,0.02,1.20967742,0.4,0.4,0.4,207.13664056,United Arab Emirates,4.98682795,5.02,5.00907407,4.965,4.995,4.97,4.95,1.20967742,0.4,Agricultural Commodities/Milling,5.02,0.01070688,0.00689289,0.05,4.96156646,5.01208943,Strong Buy,35.47169974,5.02,Buy,35.73575757,68.83514136,1.93256385,,5.004,4.9815,4.9706,4.96485,100,100,100,100,2.24032587,1.52381938,2.24032587,4.96337156,4.98740988,0.00714286
AIRARABIA,AIR ARABIA,2.46,0,0,Neutral,826676,2033622.96,11293414829,9.02090209,0.2727,Transportation,DFM,2.5,2.28,0.87405306,0,35.71428571,2307530,25.27728901,0.00073529,2.45197416,2.48102584,-0.00979005,0,0.00934355,0,1.65289256,0,0,0,-112.55411255,United Arab Emirates,2.46474703,2.46,2.45881481,2.47,2.47,2.455,2.45,1.65289256,0,Airlines,2.46,0.00099426,0.00299122,0,2.44540933,2.48408473,Sell,13.34283905,2.46,Neutral,23.37315355,47.22934556,13.25844535,1.54786443,2.462,2.4665,2.4566,2.4462,11.11111111,0,1.82896557,11.0337149,2.47933884,1.80094927,2.47933884,2.46281146,2.46619534,0.01
AJMANBANK,AJMAN BANK,2.24,-0.44444444,-0.01,Buy,460985,1032606.4,4868640021,27.45098039,0.0816,Finance,DFM,2.33,2.08,0.2379257,7.14285714,71.42857143,12778610.6,21.21779012,0.01561765,2.21134148,2.25565852,0.00125331,0,0.01145301,0,0,-0.44444444,-0.44444444,-0.44444444,60.60606061,United Arab Emirates,2.23670297,2.24,2.24944444,2.235,2.24,2.2225,2.23,0,0,Major Banks,2.24,0.00451606,0.0030351,0,2.21214107,2.26126486,Buy,11.64628798,2.24,Neutral,22.93940391,52.98588757,1.45657634,0.75099858,2.246,2.2335,2.2308,2.2353,73.33333333,73.33333333,78.14426322,81.29887566,2.26244344,1.82397681,2.26244344,2.23416265,2.23823832,0.01214286
ALAIN,Al Ain Alahlia Insurance Co.,37,2.77777778,1,Buy,14314,529618,555000000,9.44865804,3.9159,Finance,ADX,37,34,0.01807196,14.28571429,0,36837.2,19.94476424,-0.41705882,29.45795828,45.44404172,2.26762668,2.77777778,1.04004429,1,2.77777778,2.77777778,2.77777778,2.77777778,-8.83430295,United Arab Emirates,36.01157693,37,36.36666667,37.1,35.5,34.1,45.6,5.71428571,2.77777778,Multi-Line Insurance,37,-0.32549994,-0.38033397,2,34.08737224,37.93578162,Buy,47.05788157,37,Neutral,50.6938668,52.94211843,1.15355479,,35.6,37.451,35.5332,42.8443,35.77889597,57.54799034,65.64313697,42.26908972,0,0.98039216,2.7027027,37,36.28787551,0
ALANSARI,AL ANSARI FINANCIA,1.2,-0.82644628,-0.01,Strong Sell,2362141,2834569.2,9150000000,,,Finance,DFM,1.27,1.18,0.86574525,100,14.28571429,6663448.8,32.11952892,-0.00320588,1.20371017,1.22728983,-0.02798137,-1.63934426,0.00752239,-0.02,-1.63934426,0,-0.82644628,-0.82644628,-275.86206897,United Arab Emirates,1.21527269,1.2,1.21155556,1.215,1.21,1.2175,1.22,-1.63934426,-1.63934426,Financial Conglomerates,1.2,-0.00229346,-0.00127497,-0.02,1.19934988,1.2311955,Strong Sell,41.22830654,1.2,Sell,14.07065296,37.78252723,27.58682265,,1.214,1.2155,1.2184,1.22615,33.33333333,16.66666667,43.11555172,73.18814559,2.5,1.75330351,2.5,1.2125107,1.20762685,0.00571429
ALDAR,Al Dar Properties,5.08,0,0,Sell,671923,3413368.84,40020784818,13.77813941,0.3687,Finance,ADX,5.21,5.03,1.0738226,57.14285714,92.85714286,4935802.1,29.37319854,-0.01191176,5.0661477,5.0998523,-0.00143483,0,0.01450807,0,-0.19646365,0,0,0,-35.0877193,United Arab Emirates,5.08341694,5.08,5.07966667,5.09,5.08,5.1,5.1,-0.19646365,0,Real Estate Development,5.08,-0.00506835,-0.00535365,0,5.05390466,5.11292921,Sell,11.12716517,5.08,Buy,17.64044266,47.00500999,3.99303634,1.50749839,5.08,5.083,5.0928,5.1065,47.22222222,50,78.17864989,74.38753669,1.18577075,1.04805554,1.18577075,5.09008658,5.08087194,0.01428571
ALFIRDOUS,AL FIRDOUS HOLDING,0.785,0,0,Buy,4000,3140,409800017,,-0.0015,Consumer Services,DFM,0.785,0.133,1.9341558,0,0,5083031.1,31.50718505,0.02663235,0.77852197,0.78987803,0.00481287,0,0.00517371,0,14.9341142,0,0,0,44.03409091,United Arab Emirates,0.77411891,0.785,0.785,0.734,0.785,0.6925,0.6075,14.9341142,0,Hotels/Resorts/Cruise lines,0.785,0.02027812,0.02699548,0,0.76690297,0.78133484,Strong Buy,50.08918657,0.785,Neutral,35.35880537,87.85147893,0.77492348,,0.785,0.7842,0.7095,0.411265,100,100,100,90.37983735,14.9341142,6.81008677,14.9341142,0.7759812,0.78344134,0.00007143
ALPHADHABI,Alpha Dhabi Holding PJSC,21.08,0.47664442,0.1,Strong Buy,25703,541819.24,209200000763,17.70982105,1.1903,Industrial Services,ADX,21.219999,17.52,0.5061042,0,57.14285714,6643652.7,44.71222433,0.33382353,20.6902001,21.0897999,0.27920265,1.34615385,0.06162215,0.28,0.76481836,0.47664442,0.47664442,0.47664442,132.69054178,United Arab Emirates,20.86924683,21.08,21.03785185,20.75,20.95,20.295,20.54,0.76481836,1.34615385,Engineering & Construction,21.08,0.1330082,0.12876448,0.24,20.74877813,20.98971552,Strong Buy,13.60586434,21.08,Buy,58.24539015,72.66018554,0.9417157,0.78922704,21.024,20.89,20.4952,20.4624,73.00925926,76.11111111,51.05841028,57.69891043,6.24370594,2.52851523,6.24370594,20.41220954,20.8702805,0.03857143
ALRAMZ,AL RAMZ CORPORATIO,1.3,0,0,Buy,10000,13000,675728057,22.88732394,0.0568,Finance,DFM,1.3,1.08,-0.36599714,28.57142857,0,53609,10.31308742,-0.03838235,1.11366702,1.42633298,0.05350427,0,0.05731466,0,0,0,0,0,36.26731866,United Arab Emirates,1.27953414,1.3,1.32062963,1.27,1.195,1.375,1.295,0,0,Real Estate Development,1.3,-0.0115692,-0.02076879,0.22,1.16757663,1.39149165,Strong Buy,48.70784028,1.3,Buy,49.16723446,51.00674355,0.06344642,,1.29,1.27,1.3088,1.137435,97.47474747,100,100,99.05054857,0,0.88383838,0,1.3,1.29846493,0.00142857
